Match_addr,ARC_Street,File_,Directory,Full_Link,Quick_Link,Date_,Location,Back_of_Sh,Job_Catego,Hyperlink,GlobalID,Leak_Numbe,Leak_Num_Y,X,Y
104 BEAUMONT PL,104 Beaumont Pl,DOC072711-065.tif,S:\WORKSHEETS\Worksheets_2005-4,S:\WORKSHEETS\Worksheets_2005-4\DOC072711-065.tif,DOC072711-065.tif,4/25/2005,104 Beaumont Pl,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2005-4\DOC072711-065.tif,{E87338BE-0A0E-4655-83C5-66798EEA6B72},,2005,-76.08750000000,43.04480000000
SOUTH AVE & BELLEVUE AVE,South Ave & Bellevue Ave,DOC072611-033.tif,S:\WORKSHEETS\Worksheets_2005-1,S:\WORKSHEETS\Worksheets_2005-1\DOC072611-033.tif,DOC072611-033.tif,1/11/2005,South Ave & Bellevue Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2005-1\DOC072611-033.tif,{017F6712-ED84-4944-9563-CB1F2D519FC5},,2005,-76.15880000000,43.03350000000
JAMES ST & N TOWNSEND ST,James St & North Townsend St,DOC072611-036.tif,S:\WORKSHEETS\Worksheets_2005-1,S:\WORKSHEETS\Worksheets_2005-1\DOC072611-036.tif,DOC072611-036.tif,1/12/2005,James St & North Townsend St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2005-1\DOC072611-036.tif,{D7AC743D-E6B0-487B-973B-251E4037E5C3},,2005,-76.14600000000,43.05360000000
100 E RAYNOR AVE,East Raynor Ave,DOC071511-044.tif,S:\WORKSHEETS\Worksheets_2006-4,S:\WORKSHEETS\Worksheets_2006-4\DOC071511-044.tif,DOC071511-044.tif,4/17/2006,East Raynor Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2006-4\DOC071511-044.tif,{B54F81FA-FB37-4274-9FC0-E27D97C2BEEA},059,2006,-76.14940000000,43.03530000000
LOOMIS AVE & PACIFIC AVE,Loomis Ave & Pacific Ave,DOC071511-029.tif,S:\WORKSHEETS\Worksheets_2006-5,S:\WORKSHEETS\Worksheets_2006-5\DOC071511-029.tif,DOC071511-029.tif,5/8/2006,Loomis Ave & Pacific Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2006-5\DOC071511-029.tif,{A219142A-8C0D-4367-8922-6622D4865A03},,2006,-76.15380000000,43.00810000000
W GENESEE ST & AVERY AVE,West Genesee St & Avery Ave,DOC071811-058.tif,S:\WORKSHEETS\Worksheets_2006-5,S:\WORKSHEETS\Worksheets_2006-5\DOC071811-058.tif,DOC071811-058.tif,5/31/2006,West Genesee St & Avery Ave,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2006-5\DOC071811-058.tif,{A199511F-AA8F-4716-89A2-0A3586FF1C82},,2006,-76.19330000000,43.05040000000
304 E KENNEDY ST,304 East Kennedy St,DOC071811-057.tif,S:\WORKSHEETS\Worksheets_2006-6,S:\WORKSHEETS\Worksheets_2006-6\DOC071811-057.tif,DOC071811-057.tif,6/15/2006,304 East Kennedy St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2006-6\DOC071811-057.tif,{0A28EA20-1D78-4389-8CDD-EB67B64D7A04},110,2006,-76.14400000000,43.03140000000
1221 MADISON ST,1221 Madison St,DOC071811-100.tif,S:\WORKSHEETS\Worksheets_2006-7,S:\WORKSHEETS\Worksheets_2006-7\DOC071811-100.tif,DOC071811-100.tif,7/31/2006,1221 Madison St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2006-7\DOC071811-100.tif,{608187C7-57B3-49C2-8990-51A244EC2E11},,2006,-76.12830000000,43.04540000000
THURBER ST & STEVENS PL,Thurber St & Stevens Pl,DOC071411-063.tif,S:\WORKSHEETS\Worksheets_2006-1,S:\WORKSHEETS\Worksheets_2006-1\DOC071411-063.tif,DOC071411-063.tif,1/19/2006,Thurber St & Stevens Pl,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2006-1\DOC071411-063.tif,{85AD17FA-F922-4EF4-AE90-D14A325042DD},,2006,-76.13580000000,43.01800000000
317 OVERLOOK DR,317 Overlook Dr,DOC072611-004.tif,S:\WORKSHEETS\Worksheets_2005-1,S:\WORKSHEETS\Worksheets_2005-1\DOC072611-004.tif,DOC072611-004.tif,1/3/2005,317 Overlook Dr,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2005-1\DOC072611-004.tif,{ED621938-77A1-4BC6-94E9-57C37180BDFC},294,2005,-76.18710000000,43.02950000000
